bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin
2010728.0,0.0,0.0,10.73,-1.37,1.0177,35.8,0.0,27.95,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,0.0,0.0,0.0
2010729.0,0.0,0.0,10.73,-1.37,1.0133,27.95,0.0,27.95,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,0.0,0.0,0.0
2010729.0,20.46,-1.37,10.73,-1.37,1.0133,32.33,1.0,27.95,13.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,0.0,0.0,0.0
2010731.0,0.0,0.0,6.5,-0.83,1.0172,18.62,0.0,16.92,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,0.0,0.0
2010731.0,0.0,0.0,6.5,-0.83,1.0172,21.25,0.0,16.92,6.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,0.0,0.0
2010731.0,0.0,0.0,6.5,-0.83,1.0172,16.92,0.0,16.92,3.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,0.0,0.0
2010731.0,9.83,-0.83,6.5,-0.83,1.0172,19.89,1.0,16.92,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,0.0,0.0
2010731.0,0.0,0.0,6.5,-0.83,1.0172,20.51,0.0,16.92,4.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,0.0,0.0
2010737.0,159.15,81.01,81.01,-17.67,1.0345,193.29,1.0,159.15,72.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.58,0.0,159.15,0.0,0.0,0.0,0.0
2010738.0,159.15,81.01,81.01,-17.67,1.0346,195.43,1.0,159.15,58.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.58,0.0,159.15,0.0,0.0,0.0,0.0
2010742.0,80.0,-3.92,30.72,-3.92,1.0246,96.14,1.0,80.0,14.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
2010743.0,0.0,0.0,30.72,-3.92,1.0248,93.18,0.0,80.0,31.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
2010744.0,64.23,-3.92,30.72,-3.92,1.0245,106.35,1.0,80.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
2010746.0,66.35,-12.96,19.17,-12.96,1.0205,98.26,1.0,90.0,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
2010750.0,409.37,-20.06,157.2,-20.06,1.0419,498.65,1.0,409.37,146.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.37,0.0,0.0,0.0,0.0
2010751.0,0.0,0.0,157.2,-20.06,1.0434,454.46,0.0,409.367,47.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.367,0.0,0.0,0.0,0.0
2010752.0,293.05,-20.06,157.2,-20.06,1.0422,417.45,1.0,409.367,60.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.367,0.0,0.0,0.0,0.0
2010753.0,0.0,0.0,157.2,-20.06,1.0434,459.34,0.0,409.367,49.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.367,0.0,0.0,0.0,0.0
2010754.0,323.1,-20.06,157.2,-20.06,1.0417,487.04,1.0,409.367,185.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.367,0.0,0.0,0.0,0.0
2010755.0,333.93,-20.06,157.2,-20.06,1.0413,548.59,1.0,409.37,100.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.37,0.0,0.0,0.0,0.0
2010757.0,40.5,-1.98,15.55,-1.98,1.0231,45.68,1.0,40.5,9.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0
2010757.0,40.5,-1.98,15.55,-1.98,1.0231,47.33,1.0,40.5,6.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0
2010757.0,28.94,-1.98,15.55,-1.98,1.0231,57.72,1.0,40.5,7.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0
2010757.0,0.0,0.0,15.55,-1.98,1.0231,56.8,0.0,40.5,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0
2010758.0,0.0,0.0,21.35,-2.72,1.04,64.74,0.0,55.6,19.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0
2010758.0,55.6,21.35,21.35,-2.72,1.04,63.99,1.0,55.6,18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0
2010760.0,0.0,0.0,0.0,0.0,1.04,69.12,0.0,61.5,13.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,0.0,0.0,0.0,0.0
2010768.0,212.51,56.83,56.83,-38.42,1.0299,301.55,1.0,266.8,122.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.8,0.0,0.0,0.0,0.0
2010771.0,51.82,19.9,19.9,-2.54,1.0385,72.35,1.0,51.825,16.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.825,0.0,0.0,0.0,0.0
2010772.0,41.62,19.9,19.9,-2.54,1.0395,52.68,1.0,51.825,22.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.825,0.0,0.0,0.0,0.0
2010773.0,0.0,0.0,19.9,-2.54,1.0318,66.71,0.0,51.82,20.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83,0.0,0.0,0.0,0.0
2010774.0,41.38,19.9,19.9,-2.54,1.0374,57.61,1.0,51.825,19.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.825,0.0,0.0,0.0,0.0
2010776.0,0.0,0.0,0.0,0.0,1.0318,32.07,0.0,28.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
2010776.0,14.32,0.0,0.0,0.0,1.0318,23.98,1.0,20.0,6.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2010778.0,8.03,-0.49,3.84,-0.49,1.0192,11.56,1.0,10.0,3.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2010778.0,14.8,-0.73,5.68,-0.73,1.0192,14.94,1.0,14.8,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0
2010782.0,13.43,0.0,0.0,0.0,1.0156,27.32,1.0,18.333,6.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3333,0.0,0.0,0.0,0.0
2010782.0,14.65,0.0,0.0,0.0,1.0156,18.63,1.0,18.333,7.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3333,0.0,0.0,0.0,0.0
2010783.0,13.24,0.0,0.0,0.0,1.0148,22.11,1.0,18.333,3.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3333,0.0,0.0,0.0,0.0
2010784.0,17.21,0.0,0.0,0.0,1.0192,43.83,1.0,39.4,5.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,0.0,0.0,0.0
2010784.0,42.83,0.0,0.0,0.0,1.0192,64.64,1.0,58.2,15.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0
2010785.0,39.4,0.0,0.0,0.0,1.0192,44.46,1.0,39.4,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,0.0,0.0,0.0
2010785.0,31.08,0.0,0.0,0.0,1.0192,49.64,1.0,39.4,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,0.0,0.0,0.0
2010791.0,58.2,22.43,22.43,-15.16,0.9955,136.19,1.0,105.3,19.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.3,0.0,0.0,0.0,0.0
2010796.0,0.0,0.0,21.23,-4.63,1.043,55.57,0.0,41.7,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,41.7,0.0,0.0,0.0,0.0
2010797.0,41.7,10.44,21.23,-4.63,1.0444,62.55,1.0,41.7,8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,41.7,0.0,0.0,0.0,0.0
2010797.0,41.7,10.44,21.23,-4.63,1.0444,41.7,1.0,41.7,16.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,41.7,0.0,0.0,0.0,0.0
2010798.0,41.7,-4.63,21.23,-4.63,1.0269,41.7,1.0,41.7,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,41.7,0.0,0.0,0.0,0.0
2010800.0,82.34,-14.08,20.83,-14.08,1.04,129.15,1.0,97.8,28.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,0.0,0.0,0.0,0.0
2010802.0,10.22,4.61,4.61,-0.59,1.0442,14.15,1.0,12.0,5.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2010803.0,12.0,4.61,4.61,-0.59,1.0442,12.12,1.0,12.0,4.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2010806.0,34.74,-2.23,17.51,-2.23,1.0235,52.42,1.0,45.6,17.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0
2010806.0,42.97,-2.23,17.51,-2.23,1.0235,61.48,1.0,45.6,17.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0
2010807.0,0.0,0.0,17.51,-2.23,1.0261,68.4,0.0,45.6,21.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0
2010807.0,30.26,-2.23,17.51,-2.23,1.0261,51.24,1.0,45.6,14.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0
2010811.0,1200.0,237.26,441.6,-98.4,1.0597,1400.38,1.0,1200.0,469.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0
2010813.0,56.32,-3.28,25.73,-3.28,1.0153,74.5,1.0,67.0,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0
2010813.0,0.0,0.0,25.73,-3.28,1.0153,91.7,0.0,67.0,30.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0
2010817.0,50.7,0.0,0.0,0.0,1.04,68.96,1.0,50.7,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0
2010818.0,0.0,0.0,0.0,0.0,1.04,7.2,0.0,7.2,2.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0
2010821.0,0.0,0.0,32.21,-21.77,1.0418,208.02,0.0,151.2,63.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.2,0.0,0.0,0.0,0.0
2010829.0,75.24,4.46,51.84,-6.62,1.0237,168.3,1.0,135.0,19.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010830.0,135.0,4.46,51.84,-6.62,1.0236,159.7,1.0,135.0,57.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010831.0,106.15,4.46,51.84,-6.62,1.0237,152.07,1.0,135.0,45.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010832.0,135.0,4.46,51.84,-6.62,1.0235,143.54,1.0,135.0,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010833.0,88.14,4.46,51.84,-6.62,1.0237,177.11,1.0,135.0,49.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010834.0,75.59,4.46,51.84,-6.62,1.0236,175.15,1.0,135.0,34.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010836.0,88.9,-9.87,45.25,-9.87,1.0221,116.35,1.0,88.9,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45,0.0,88.9,0.0,0.0,0.0,0.0
2010836.0,88.9,-9.87,45.25,-9.87,1.0221,90.43,1.0,88.9,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45,0.0,88.9,0.0,0.0,0.0,0.0
2010838.0,45.58,0.0,0.0,0.0,1.04,91.58,1.0,64.0,18.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0
2010842.0,10.5,4.92,4.92,-0.63,1.038,12.8,1.0,12.8,5.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2010842.0,8.22,4.92,4.92,-0.63,1.038,16.02,1.0,12.8,3.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2010843.0,11.05,-0.63,4.92,-0.63,1.0182,13.06,1.0,12.8,1.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2010843.0,0.0,0.0,4.92,-0.63,1.0182,14.28,0.0,12.8,3.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2010843.0,8.89,-0.63,4.92,-0.63,1.0182,12.8,1.0,12.8,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2010847.0,100.5,-4.92,38.59,-4.92,1.036,118.86,1.0,100.5,13.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010848.0,78.52,-4.92,38.59,-4.92,1.036,140.04,1.0,100.5,17.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010849.0,83.39,-4.92,38.59,-4.92,1.036,128.45,1.0,100.5,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010850.0,87.3,-4.92,38.59,-4.92,1.0358,120.81,1.0,100.5,48.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010851.0,80.36,-4.92,38.59,-4.92,1.036,108.12,1.0,100.5,46.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010852.0,99.06,-4.92,38.59,-4.92,1.036,100.5,1.0,100.5,45.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0
2010853.0,0.0,0.0,3.84,-0.49,1.0364,13.29,0.0,10.0,3.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2010859.0,0.0,0.0,340.13,-89.05,1.0397,844.8,0.0,729.9,357.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.38,0.0,729.9,0.0,0.0,0.0,0.0
2010860.0,332.3,-89.05,340.13,-89.05,1.0343,887.05,1.0,729.9,312.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.38,0.0,729.9,0.0,0.0,0.0,0.0
2010864.0,103.61,57.6,57.6,-7.35,1.0051,187.87,1.0,150.0,48.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0
2010865.0,110.96,57.6,57.6,-7.35,1.0055,209.0,1.0,150.0,54.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0
2010867.0,11.12,-0.74,5.76,-0.74,0.978,15.21,1.0,15.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
2010867.0,11.39,-0.74,5.76,-0.74,0.978,20.37,1.0,15.0,4.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
2010869.0,0.0,0.0,3.84,-0.49,1.0065,10.0,0.0,10.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2010869.0,10.0,3.84,3.84,-0.49,1.0065,11.12,1.0,10.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2010872.0,61.8,31.46,31.46,-6.86,1.023,90.38,1.0,61.8,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,61.8,0.0,0.0,0.0,0.0
2010873.0,21.91,-1.45,11.37,-1.45,1.0192,33.07,1.0,29.6,12.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0
2010873.0,0.0,0.0,11.37,-1.45,1.0192,38.51,0.0,29.6,4.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0
2010879.0,70.43,-6.62,51.84,-6.62,1.0325,149.8,1.0,135.0,28.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010880.0,109.22,-6.62,51.84,-6.62,1.0327,177.0,1.0,135.0,52.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010881.0,73.16,-6.62,51.84,-6.62,1.0325,178.0,1.0,135.0,18.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010882.0,0.0,0.0,51.84,-6.62,1.033,183.66,0.0,135.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010883.0,0.0,0.0,51.84,-6.62,1.033,146.95,0.0,135.0,57.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010884.0,118.13,-6.62,51.84,-6.62,1.0325,153.95,1.0,135.0,60.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
2010889.0,87.8,42.28,44.69,-9.75,1.0385,110.05,1.0,87.8,43.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,0.0,87.8,0.0,0.0,0.0,0.0
2010890.0,0.0,0.0,19.19,-4.18,1.0327,38.42,0.0,37.7,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,37.7,0.0,0.0,0.0,0.0
2010895.0,94.0,-10.43,47.85,-10.43,1.0246,115.42,1.0,94.0,38.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,94.0,0.0,0.0,0.0,0.0
2010896.0,94.0,-10.43,47.85,-10.43,1.0246,108.98,1.0,94.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,94.0,0.0,0.0,0.0,0.0
2010897.0,94.0,-10.43,47.85,-10.43,1.025,118.83,1.0,94.0,28.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,94.0,0.0,0.0,0.0,0.0
2010898.0,94.0,-10.43,47.85,-10.43,1.0248,138.07,1.0,94.0,39.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,94.0,0.0,0.0,0.0,0.0
2010901.0,36.21,-2.25,17.66,-2.25,1.0381,61.88,1.0,46.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
